Price,Link,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS
74990000,https://hacom.vn/laptop-msi-stealth-16-studio-a13vg-057vn-i9-13900h-32gb-ram-2tb-ssd-rtx4070-8g-16uhd-120hz-win-11-xanh-blue-star-balo-trooper,i9-13900,7,24.0,32.0,36,1.5,5.2,64GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,16 INCH,3840X2160,120HZ,100% DCI-P3,11
59999000,https://hacom.vn/laptop-msi-gaming-gs77-stealth-12uh-075vn-win-11-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,64GB,DDR5,5.0,2TB,SSD,3080,12,,IPS,17.3 INCH,2560x1440,240HZ,DCI-P3 100%,0
21999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf5-52vn353sh-i5-13500h-16gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,72% NTSC,11
19999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf-f2vn313sh,i5-12450H,7,8.0,12.0,12,4.4,4.4,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6 INCH,1920X1080,144HZ,",72% NTSC",11
124999000,https://hacom.vn/laptop-lenovo-legion-9-16irx8-83ag0047vn-i9-13980hx-64gb-ram-2tb-ssd-16-3.2k-165hz-rtx-4090-16g-win11-xam,i9-13980HX,7,24.0,32.0,36,5.6,5.6,64GB,DDR5,5.0,2TB,SSD,4090,24,,IPS,"16""",3200X2000,165HZ,100% DCI-P3,11
51799000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-phn16-72-71um-nh.qnmsv.002-i7-14700hx-16gb-ram-1tb-ssd-rtx4070-8g-16-inch-2k-240hz-win-11-den,i7-14700,7,20.0,28.0,33,1.5,5.3,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,16-INCH,2560 X 1600,240HZ,DCI-P3 100%,11
29599000,https://hacom.vn/laptop-msi-gaming-cyborg-15-ai-a1vek-053vn-core-ultra-7-155h-16gb-512gb-ssd-rtx-4050-6gb-15.6-inch-fhd-144hz-ips-win11-den-2024,155H,0,16.0,22.0,24,0.9,4.8,16GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,,11
84990000,https://hacom.vn/laptop-msi-creator-z16-hx-studio-b13vgto-062vn-i9-13950hx-64gb-ram-2tb-ssd-rtx4070-8g-16.0-inch-qhd-touch-win-10-xam-vo-nhom,i9-13950HX,7,24.0,32.0,36,5.5,5.5,64GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,16.0-INCH,2560X1600,120HZ,,11
77990000,https://hacom.vn/laptop-msi-stealth-16-mercedes-amg-motorsport-a13vg-289vn-i9-13900h-32gb-ram-2tb-ssd-rtx4070-8g-16-inch-uhd-oled-win-11-xam-2023,i9-13900,7,24.0,32.0,36,1.5,5.2,64GB,LPDDR5,5.0,2TB,SSD,4070,12,,OLED,16-INCH,3840X2400,60HZ,,11
44999000,https://hacom.vn/laptop-lenovo-legion-5-pro-16irx8-82wk00apvn-i9-13900hx-16gb-ram-1tb-ssd-16-wqxga-165hz-rtx-4060-8g-win11-xam,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,"16""",2560X1600,165HZ,100% SRGB,11
124999000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-ph16-71-94n1-nh.qjssv.002-i9-13900hx-2-16gb-ram-2tb-ssd-rtx4080-12g-16-inch-2k-240hz-win-11-den-vo-nhom,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,2TB,SSD,4080,16,,LCD,16-INCH,2560x1600,240HZ,DCI-P3 100%,11
104799000,https://hacom.vn/laptop-acer-gaming-predator-helios-18-ph18-72-908n-nh.qp4sv.001-i9-14900hx-32gb-ram-4tb-ssd-rtx4090-16g-18-inch-2k-250hz-win-11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,4TB,SSD,4090,24,,IPS,18-INCH,2560 X 1600,250HZ,",DCI-P3 100%",11
26799000,https://hacom.vn/laptop-gigabyte-gaming-aorus-15-9mf-e2vn583sh-i5-12500h-8gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-360hz-win-11-den,i5-12500,7,6.0,12.0,18,4.6,4.6,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1980 X 1080,360HZ,100% SRGB,11
19599000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf-f2ph333sh-i5-12450h-8gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i5-12450H,7,8.0,12.0,12,4.4,4.4,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,",72% NTSC",11
23999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf5-h2vn353sh-i7-13620h-16gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i7-13620H,7,10.0,16.0,24,4.9,4.9,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,72% NTSC,11
89990000,https://hacom.vn/laptop-msi-gaming-ge68-hx-raider-14vig-496vn-i9-14900hx-32gb-ram-2tb-ssd-rtx4090-16gb-16.0-inch-qhd-240hz-win11-den-2024,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,2TB,SSD,4090,24,,IPS,16.0-INCH,2560 X 1600,240HZ,100% DCI-P3,11
78799000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-predator-helios-16-ph16-72-95zm-nh.qnzsv.008-i9-14900hx-32gb-ram-2tb-ssd-rtx4080-12g-16-inch-2k-250hz-win-11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,2TB,SSD,4080,16,,IPS,16-INCH,2560 X 1600,250HZ,DCI-P3 100%,11
24799000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn383sh-i5-13500h-8gb-512gb-ssd-rtx4060-8g-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11
74999000,https://hacom.vn/laptop-asus-gaming-rog-zephyrus-gu605mi-qr116w-ultra-core-i9-185h-32gb-ram-1tb-ssd-16-qhd-240hz-rtx-4070-8gb-win11-xam-tui,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,4070,12,,OLED,,2560x1440,240HZ,DCI-P3 100%,11
63999000,https://hacom.vn/laptop-asus-gaming-rog-zephyrus-gu605mv-qr135w-core-ultra-9-185h-32gb-ram-1tb-ssd-16-qhd-240hz-rtx-4060-8ggb-win11-xam-tui,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,4060,8,,IPS,"16""",2560X1600,240HZ,,11
126999000,https://hacom.vn/laptop-acer-gaming-predator-helios-18-ph18-71-94sj-nh.qkrsv.002-i9-13900hx-2-16gb-ram-2tb-ssd-rtx4080-12g-18-inch-2k-240hz-win-11-den-vo-nhom,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,2TB,SSD,4080,16,,LCD,18-INCH,2560x1600,240HZ,DCI-P3 100%,11
149990000,https://hacom.vn/laptop-msi-gaming-gt77-hx-titan-13vi-077vn-i9-13980hx-64gb-ram-4tb-ssd-rtx4090-16g-17.3-inch-uhd-144hz-win11-den,i9-13980HX,7,24.0,32.0,36,5.6,5.6,128GB,DDR5,5.0,4TB,SSD,4090,24,,IPS,17.3-INCH,3840X2160,144HZ,100% DCI-P3,11
149990000,https://hacom.vn/laptop-msi-gaming-titan-18hx-a14vi-205vn-i9-14900hx-128gb-ram-4tb-ssd-rtx-4090-16gb-18.0-inch-uhd-120hz-win11-den-2024,i9-14900,7,24.0,32.0,36,1.5,5.4,128GB,DDR5,5.0,128GB,SSD,4090,24,,IPS,18.0-INCH,3840X2400,120HZ,100% DCI-P3,11
99999000,https://hacom.vn/laptop-asus-gaming-rog-strix-scar-g634jzr-nm009w-i9-14900hx-64gb-ram-2tb-ssd-16-qhd-240hz-rtx-4080-12gb-win11-den-balo-chuot,i9-14900,7,24.0,32.0,36,1.5,5.4,64GB,DDR5,5.0,2TB,SSD,4080,16,,IPS,16-INCH,2560 X 1600,240HZ,100% DCI-P3,11
49990000,https://hacom.vn/laptop-msi-gaming-stealth-14-ai-studio-a1vfg-050vn-core-ultra-7-155h-32gb-1tb-ssd-rtx4060-8gb-14-inch-2.8k-oled-win11-xanh-2024,155H,0,16.0,22.0,24,0.9,4.8,32GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,14-INCH,2880X1800,120HZ,,11
52019000,https://hacom.vn/laptop-do-hoa-conceptd-3-ezel-pro-cc314-72p-75eg-nxc5ksv001-trang,i7-10750H,14,6.0,12.0,12,2.6,5.0,16GB,DDR4,4.0,1TB,SSD,,,,IPS,14 INCH,1920x1080,60HZ,,0
58999000,https://hacom.vn/laptop-hp-envy-16-h0205tx-7c0t2pa-i9-12900h-32gb-ram-512gb-ssd-16-uhd-oled-rtx3060-6gb-win11-bac,i9-12900,7,16.0,24.0,30,1.8,5.0,32GB,DDR5,5.0,512GB,SSD,3060,12,,OLED,"16""",3840 X 2400,,100% DCI-P3,11
26769000,https://hacom.vn/laptop-asus-gaming-rog-strix-g512-ial001t-den,i7-10750H,14,6.0,12.0,12,2.6,5.0,8GB,DDR4,4.0,512GB,SSD,,,,IPS,15.6 INCH,1920X1080,144HZ,SRGB:67%,10
64990000,https://hacom.vn/laptop-msi-gaming-stealth-16-ai-studio-a1vgg-089vn-core-ultra-9-185h-32gb-ram-2tb-ssd-rtx4070-8gb-16.0-inch-qhd-240hz-win11-xanh-2024,185H,0,16.0,22.0,24,1.8,5.1,32GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,16.0-INCH,2560X1600,240HZ,100% DCI-P3,11
68990000,https://hacom.vn/laptop-msi-creator-z17-a12ugst-051vn-xam-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,64GB,DDR4,5.0,2TB,SSD,3070,8,,IPS,17 INCH,2560x1440,165HZ,DCI-P3 100%,11
135099000,https://hacom.vn/laptop-msi-gaming-gt77-titan-12uhs-204vn-win11-den-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,128GB,DDR5,5.0,128GB,SSD,3080,12,,IPS,"17.3""",3840X2160,120HZ,100% DCI-P3,11
93999000,https://hacom.vn/laptop-msi-gaming-stealth-18-ai-studio-a1vhg-xxx-core-ultra-9-185h-32gb-ram-2tb-ssd-rtx4080-12g-18.0-inch-miniled-120hz-win11-den-2024,185H,0,16.0,22.0,24,1.8,5.1,32GB,DDR5,5.0,2TB,SSD,4080,16,,IPS,18.0-INCH,3840X2400,120HZ,100% DCI-P3,11
49989000,https://hacom.vn/laptop-workstation-hp-zbook-15-g5-3ax12av-i7-8750h-16gb-ram-256gb-ssd-quadro-p2000-156-fhd-dos,i7-8750H,14,6.0,12.0,9,1.7,4.1,16GB,DDR4,4.0,256GB,SSD,,,,IPS,15.6,1920X1080,,,0
16499000,https://hacom.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz-nx.kq4sv.008-i5-13420h-8gb-ram-512gb-ssd-rtx2050-4gb-15.6-inch-fhd-win11-xam,i5-13420H,7,8.0,12.0,12,4.6,4.6,32GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,60HZ,,11
38999000,https://hacom.vn/laptop-acer-gaming-nitro-16-phoenix-an16-41-r76e-nh.qllsv.004-r9-7940hs-16gb-ram-512gb-ssd-rtx4060-8g-16.0-inch-wqxga-165hz-win-11-den-2023,165H,0,16.0,22.0,24,0.9,5.0,32GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,16.0-INCH,2560X1600,165HZ,",SRGB 100%",11
29799000,https://hacom.vn/laptop-asus-gaming-tuf-fx507vv-lp157w-i7-13620h-16gb-ram-512gb-ssd-15.6-fhd-144hz-rtx-4060-8gb-win11-xam,i7-13620H,7,10.0,16.0,24,4.9,4.9,32GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,15.6-INCH,1920 X 1080,144HZ,SRGB 100%,11
117999000,https://hacom.vn/laptop-asus-gaming-rog-strix-scar-g834jyr-r6011w-i9-14900hx-64gb-ram-2tb-ssd-18-wqxga-240hz-rtx-4090-16gb-win11-den-balo,i9-14900,7,24.0,32.0,36,1.5,5.4,64GB,DDR5,5.0,2TB,SSD,4090,24,,IPS,18-INCH,2560 X 1600,240HZ,100% DCI-P3,11
21999000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn383sh-i5-13500h-8gb-512gb-ssd-rtx-4050-6gb-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11
38999000,https://hacom.vn/laptop-lenovo-legion-5-16irx9-83dg004xvn-i7-13650hx-16gb-ram-512gb-ssd-16-wqxga-165hz-rtx-4060-8g-win11-xam,i7-13650HX,7,14.0,20.0,24,4.9,4.9,64GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,"16""",2560X1600,165HZ,100% DCI-P3,0
26999000,https://hacom.vn/laptop-asus-gaming-tuf-fx507vu-lp198w-i7-13620h-8gb-ram-512gb-ssd-15.6-fhd-144hz-rtx4050-6gb-win11-xam,i7-13620H,7,10.0,16.0,24,4.9,4.9,32GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920 X 1080,144HZ,,11
25499000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn353sh-i5-13500h-16gb-512gb-ssd-rtx4060-8g-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11
48999000,https://hacom.vn/laptop-predator-helios-neo-phn16-71-74qr-nh.qlvsv.002-i7-13700hx-16gb-ram-512gb-ssd-rtx4070-8gb-16-inch-fhd-165hz-win11-den,i7-13700,7,16.0,24.0,30,1.5,5.1,32GB,DDR5,5.0,512GB,SSD,4070,12,,IPS,16-INCH,2560 X 1600,165HZ,DCI-P3 100%,11
80299000,https://hacom.vn/laptop-do-hoa-conceptd-7-ezel-cc715-71-7940-nxc5esv002-trang,i7-10875H,14,8.0,16.0,16,2.3,5.1,32GB,DDR4,4.0,1TB,SSD,2060,12,,IPS,15.6 INCH,3840 X 2160,,,0
33999000,https://hacom.vn/laptop-hp-gaming-victus-16-r0127tx-8c5n2pa-i7-13700h-16gb-ram-512gb-ssd-16-fhd-144hz-rtx4060-8gb-win11-den,i7-13700,7,16.0,24.0,30,1.5,5.1,16GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,"16""",1920x1080,144HZ,45% NTSC,11
51999000,https://hacom.vn/laptop-msi-gaming-stealth-14-studio-a13vf-051vn-i7-13700h-16gb-ram-1tb-ssd-rtx4060-8g-14.0-inch-qhd-240hz-win-11-xanh,i7-13700,7,16.0,24.0,30,1.5,5.1,64GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,14.0-INCH,2560X1600,240HZ,100% DCI-P3,11
51990000,https://hacom.vn/laptop-msi-stealth14-ai-studio-a1vfg-085vn-i7-155h-1tb-pcie-ssd-ddr5-16gb-2-rtx-4060-gddr6-8gb-14-16-10-2.8k-oled-120hz-win11-mau-xanh,155H,0,16.0,22.0,24,0.9,4.8,32GB,DDR5,5.0,1TB,SSD,4060,8,,OLED,14INCH,2880X1800,120HZ,100% DCI-P3,0
27799000,https://hacom.vn/laptop-gigabyte-gaming-g6-kf-h3vn853sh-i7-13620h-16gb-ram-512gb-ssd-rtx4060-8g-16.0-inch-fhd-165hz-win-11-den-2024,i7-13620H,7,10.0,16.0,24,4.9,4.9,16GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,16.0-INCH,1920X1200,165HZ,,11
53499000,https://hacom.vn/laptop-lenovo-legion-pro-5-16irx9-83df0046vn-i9-14900hx-32gb-ram-1tb-ssd-16-wqxga-240hz-rtx-4070-8g-win11-xam,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,"16""",2560X1600,240HZ,100% DCI-P3,0
34999000,https://hacom.vn/laptop-lenovo-legion-slim-5-16aph8-82y9002yvn-r7-7840hs-16gb-ram-512gb-ssd-16-wqxga-165hz-rtx-4060-8g-win11-xam,165H,0,16.0,22.0,24,0.9,5.0,32GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,"16""",2560X1600,165HZ,100% SRGB,11
56799000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-phn16-72-94kc-nh.qnmsv.005-i9-14900hx-16gb-ram-1tb-ssd-rtx4070-8g-16-inch-2k-240hz-win-11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,16-INCH,2560 X 1600,240HZ,DCI-P3 100%,11
79990000,https://hacom.vn/laptop-msi-stealth-18-ai-studio-a1vgg-008vn-i9-185h-2tb-ssd-ddr5-16gb-2-rtx-4070-gddr6-8gb-18-16-10-uhd-miniled-win11-midnight-black,Ryzen 7 8845HS,4,8.0,16.0,24,3.8,5.1,64GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,15.6INCH,1920 X 1080,144HZ,45%NTSC,0
39990000,https://hacom.vn/laptop-msi-katana-a15-ai-b8ve-465vn-r7-8845hs-1tb-pcie-ssd-ddr5-8gb-2-rtx-4070-gddr6-8gb-15.6-fhd-win11-black,Ryzen 7 8845HS,4,8.0,16.0,24,3.8,5.1,64GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,15.6INCH,1920 X 1080,144HZ,45%NTSC,11
46999000,https://hacom.vn/laptop-lenovo-legion-pro-5-16irx9-83df0047vn-i9-14900hx-32gb-ram-1tb-ssd-16-wqxga-240hz-rtx-4060-8g-win11-xam,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,"16""",2560X1600,240HZ,100% DCI-P3,0
22490000,https://hacom.vn/laptop-msi-gaming-cyborg-15-a12ve-240vn-i7-12650h-8gb-512gb-ssd-rtx4050-6gb-15.6fhd-144hz-win11-den,i7-12650H,7,10.0,16.0,24,4.7,4.7,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6 INCH,1920X1080,144HZ,,11
45999000,https://hacom.vn/laptop-asus-gaming-rog-strix-g614jvr-n4141w-i9-14900hx-32gb-ram-512gb-ssd-16-qhd-240hz-rtx-4060-8gb-win11-xam,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,16-INCH,2560 X 1600,240HZ,100% DCI-P3,11
35999000,https://hacom.vn/laptop-acer-gaming-predator-helios-neo-phn16-71-53m7-nh.qlusv.005-i5-13500hx-16gb-ram-512gb-ssd-rtx4060-8g-16-inch-fhd-165hz-win-11-den-2023,i5-13500,7,14.0,20.0,24,1.8,4.8,32GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,16-INCH,1920X1200,165HZ,",SRGB 100%",11
52019000,https://hacom.vn/laptop-do-hoa-conceptd-3-ezel-cc314-72g-75sm-nxc5jsv002-trang,i7-10750H,14,6.0,12.0,12,2.6,5.0,16GB,DDR4,4.0,1TB,SSD,,,,IPS,14 INCH,1920x1080,60HZ,,0
97999000,https://hacom.vn/laptop-lenovo-legion-pro-7-16irx9h-83de001mvn-i9-14900hx-32gb-ram-1tb-ssd-16-wqxga-240hz-rtx-4090-16g-win11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,1TB,SSD,4090,24,,IPS,"16""",2560X1600,240HZ,100% DCI-P3,11
