Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
16799000,i5-1334U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,1,15.6,60,11,12.0,1920,1080
21989000,i5-1135G7,10,4.0,8.0,0.9,4.2,32,4,4.0,512,1,0.0,3,14.0,60,10,12.0,1920,1080
23999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
20499000,i5-13500,7,14.0,20.0,1.8,4.8,48,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
25999000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,1,16.0,120,11,24.0,2048,1280
29499000,i5-1240P,7,12.0,16.0,4.4,4.4,32,4,4.0,512,1,0.0,3,16.0,60,10,36.0,1920,1200
21999000,i9-13900,7,24.0,32.0,1.5,5.2,16,5,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
11999000,i5-1135G7,10,4.0,8.0,0.9,4.2,16,4,4.0,512,1,0.0,3,15.6,120,10,12.0,1920,1080
96999000,i9-13900,7,24.0,32.0,1.5,5.2,64,5,4.0,1024,1,0.0,3,16.0,60,11,36.0,1920,1200
12999000,i7-1255U,7,10.0,12.0,4.7,4.7,8,4,4.0,512,1,0.0,3,14.0,60,10,12.0,1920,1080
28499000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,0.0,3,14.0,60,10,24.0,1920,1200
20599000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
18999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
26999000,i5-1335U,7,10.0,12.0,4.6,4.6,48,5,4.0,512,1,0.0,3,14.0,60,10,36.0,1920,1200
21999000,125H,7,14.0,18.0,0.7,4.5,16,5,4.0,512,1,0.0,1,16.0,120,11,24.0,2048,1280
58999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,0.0,3,14.0,120,11,24.0,2880,1800
44999000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,1024,1,0.0,3,14.0,120,10,24.0,2880,1800
18999000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
21999000,i7-1355U,7,10.0,12.0,5.0,5.0,16,4,4.0,1024,1,0.0,3,15.0,120,11,12.0,1920,1080
17999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,1,15.6,120,11,12.0,1920,1080
29499000,i5-1240P,7,12.0,16.0,4.4,4.4,32,4,4.0,512,1,0.0,3,14.0,60,10,36.0,2240,1400
14999000,i5-12450H,7,8.0,12.0,4.4,4.4,16,5,4.0,1024,1,0.0,3,15.6,60,11,24.0,1920,1080
27999000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,3,14.0,60,10,24.0,1920,1200
18799000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
23499000,125H,7,14.0,18.0,0.7,4.5,32,5,4.0,512,1,0.0,3,14.0,120,11,12.0,2560,1440
22799000,i9-13900,7,24.0,32.0,1.5,5.2,16,4,4.0,512,1,0.0,3,14.0,90,11,24.0,2880,1800
21499000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,1024,1,0.0,3,14.0,60,11,12.0,1920,1200
11499000,i5-1235U,7,10.0,12.0,4.4,4.4,16,4,4.0,256,1,0.0,3,15.6,120,10,12.0,1920,1080
25489000,i5-1135G7,10,4.0,8.0,0.9,4.2,32,5,4.0,512,1,0.0,3,14.0,60,10,12.0,1920,1080
19499000,i7-12650H,7,10.0,16.0,4.7,4.7,32,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
26499000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,3,14.0,120,11,12.0,2560,1440
23499000,i7-1355U,7,10.0,12.0,5.0,5.0,32,4,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1080
49999000,i9-13905H,7,14.0,20.0,5.4,5.4,32,5,4.0,1024,1,8.0,0,14.5,165,11,36.0,3072,1920
35999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,0.0,3,14.0,60,11,24.0,2880,1800
22699000,i9-13900,7,24.0,32.0,1.5,5.2,16,4,4.0,512,1,0.0,3,14.0,60,11,24.0,1920,1200
32999000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,3,14.0,60,11,24.0,2880,1800
21499000,i7-1355U,7,10.0,12.0,5.0,5.0,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
40999000,i7-1255U,7,10.0,12.0,4.7,4.7,16,4,4.0,256,1,0.0,1,13.0,60,11,12.0,1920,1080
21999000,i9-13900,7,24.0,32.0,1.5,5.2,16,4,4.0,512,1,0.0,3,15.6,60,11,24.0,1920,1080
44990000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,1024,1,0.0,3,16.0,165,11,12.0,2560,1600
22999000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,512,1,0.0,3,14.0,60,11,36.0,1920,1200
15999000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,15.6,120,11,12.0,1920,1080
12999000,i5-1235U,7,10.0,12.0,4.4,4.4,32,4,4.0,512,1,0.0,2,15.6,60,11,12.0,1920,1080
43999000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,512,1,0.0,3,14.0,60,11,36.0,1920,1200
23990000,i5-1155G7,10,4.0,8.0,1.0,4.5,64,4,4.0,512,1,0.0,3,15.6,60,10,12.0,1920,1080
85999000,i9-13950HX,7,24.0,32.0,5.5,5.5,64,5,4.0,1024,1,0.0,3,16.0,60,11,36.0,1920,1200
48999000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,512,1,0.0,1,14.0,120,11,24.0,2880,1800
26799000,125H,7,14.0,18.0,0.7,4.5,16,5,4.0,512,1,0.0,3,14.0,60,11,24.0,2880,1800
15999000,i5-1334U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,1,15.0,60,11,12.0,1920,1080
15990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,14.0,30,11,12.0,1920,1080
17999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1080
109999000,i9-13950HX,7,24.0,32.0,5.5,5.5,64,5,4.0,4096,1,16.0,3,17.3,240,11,24.0,2560,1600
63999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,8.0,3,16.0,240,11,24.0,2560,1600
51799000,i7-14700,7,20.0,28.0,1.5,5.3,32,5,4.0,1024,1,12.0,3,16.0,240,11,12.0,2560,1600
19999000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
54999000,i7-12700H,7,14.0,20.0,4.7,4.7,64,4,4.0,2048,1,8.0,3,16.0,165,11,24.0,2560,1440
16499000,i5-13420H,7,8.0,12.0,4.6,4.6,32,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
29599000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
33999000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,512,1,8.0,3,16.0,144,11,12.0,1920,1080
93999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,2048,1,16.0,3,18.0,120,11,36.0,3840,2400
51990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,8.0,1,14.0,120,10,24.0,2880,1800
97999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,24.0,3,16.0,240,11,24.0,2560,1600
46999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,8.0,3,16.0,240,10,24.0,2560,1600
51999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,1024,1,12.0,3,16.0,165,11,36.0,2560,1600
149990000,i9-13980HX,7,24.0,32.0,5.6,5.6,128,5,4.0,4096,1,24.0,3,17.3,144,11,24.0,3840,2160
89990000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,24.0,3,16.0,240,11,36.0,2560,1600
26769000,i7-10750H,14,6.0,12.0,2.6,5.0,8,4,4.0,512,1,0.0,3,15.6,144,10,12.0,1920,1080
27799000,i7-13620H,7,10.0,16.0,4.9,4.9,16,5,4.0,512,1,8.0,3,16.0,165,11,24.0,1920,1200
34999000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,8.0,3,16.0,165,11,36.0,2560,1600
21999000,i5-13500,7,14.0,20.0,1.8,4.8,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
78799000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,16.0,3,16.0,250,11,12.0,2560,1600
20999000,Ryzen 5 6600H,6,6.0,12.0,3.3,4.5,32,5,5.0,512,1,0.0,3,15.6,120,11,12.0,1920,1080
126999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,2048,1,16.0,2,18.0,240,11,12.0,2560,1600
24799000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,8.0,3,15.6,144,11,24.0,1920,1080
49989000,i7-8750H,14,6.0,12.0,1.7,4.1,16,4,4.0,256,1,0.0,3,15.6,60,10,12.0,1920,1080
51999000,i7-13700,7,16.0,24.0,1.5,5.1,64,5,4.0,1024,1,8.0,3,14.0,240,11,12.0,2560,1600
149990000,i9-14900,7,24.0,32.0,1.5,5.4,128,5,4.0,128,1,24.0,3,18.0,120,11,36.0,3840,2400
80299000,i7-10875H,14,8.0,16.0,2.3,5.1,32,4,4.0,1024,1,12.0,3,15.6,60,10,12.0,3840,2160
117999000,i9-14900,7,24.0,32.0,1.5,5.4,64,5,4.0,2048,1,24.0,3,18.0,240,11,24.0,2560,1600
92990000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,16.0,3,18.0,120,11,36.0,3840,2400
19599000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
22490000,i7-12650H,7,10.0,16.0,4.7,4.7,64,5,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
38999000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,8.0,3,16.0,165,11,12.0,2560,1600
53499000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,12.0,3,16.0,240,10,24.0,2560,1600
21999000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
124999000,i9-13980HX,7,24.0,32.0,5.6,5.6,64,5,4.0,2048,1,24.0,3,16.0,165,11,36.0,3200,2000
64990000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,2048,1,12.0,3,16.0,240,11,36.0,2560,1600
135099000,i9-12900HX,7,16.0,24.0,5.0,5.0,128,5,4.0,128,1,12.0,3,17.3,120,11,24.0,3840,2160
25499000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,8.0,3,15.6,144,11,24.0,1920,1080
26999000,i7-13620H,7,10.0,16.0,4.9,4.9,32,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
39990000,Ryzen 7 8845HS,4,8.0,16.0,3.8,5.1,64,5,5.0,1024,1,12.0,3,15.0,144,11,24.0,1920,1080
77990000,i9-13900,7,24.0,32.0,1.5,5.2,64,5,4.0,2048,1,12.0,1,16.0,60,11,24.0,3840,2400
79990000,Ryzen 7 8845HS,4,8.0,16.0,3.8,5.1,64,5,5.0,2048,1,12.0,3,15.0,144,10,24.0,1920,1080
84990000,i9-13950HX,7,24.0,32.0,5.5,5.5,64,5,4.0,2048,1,12.0,3,16.0,120,11,24.0,2560,1600
28999000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,512,1,0.0,3,16.0,144,11,12.0,1920,1080
23999000,i7-13620H,7,10.0,16.0,4.9,4.9,64,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
45999000,i7-13700,7,16.0,24.0,1.5,5.1,64,5,4.0,1024,1,8.0,3,17.3,144,11,12.0,1980,1080
68990000,i9-12900H,7,14.0,20.0,5.0,5.0,64,4,4.0,2048,1,8.0,3,17.0,165,11,24.0,2560,1440
74999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,12.0,1,0.0,240,11,24.0,2560,1440
74990000,i9-13900,7,24.0,32.0,1.5,5.2,64,5,4.0,2048,1,12.0,3,16.0,120,11,24.0,3840,2160
44999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,1024,1,8.0,3,16.0,165,11,36.0,2560,1600
99999000,i9-14900,7,24.0,32.0,1.5,5.4,64,5,4.0,2048,1,16.0,3,16.0,240,11,24.0,2560,1600
52019000,i7-10750H,14,6.0,12.0,2.6,5.0,16,4,4.0,1024,1,0.0,3,14.0,60,10,12.0,1920,1080
49990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,8.0,3,14.0,120,11,24.0,2880,1800
104799000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,4096,1,24.0,3,18.0,250,11,12.0,2560,1600
59999000,i9-12900H,7,14.0,20.0,5.0,5.0,64,5,4.0,2048,1,12.0,3,17.3,240,10,24.0,2560,1440
58999000,i9-12900,7,16.0,24.0,1.8,5.0,32,5,4.0,512,1,12.0,1,16.0,60,11,12.0,3840,2400
52019000,i7-10750H,14,6.0,12.0,2.6,5.0,16,4,4.0,1024,1,0.0,3,14.0,60,10,12.0,1920,1080
38999000,i7-13650HX,7,14.0,20.0,4.9,4.9,64,5,4.0,512,1,8.0,3,16.0,165,10,24.0,2560,1600
56999000,i9-12900,7,16.0,24.0,1.8,5.0,32,5,4.0,512,1,12.0,1,16.0,60,11,12.0,3840,2400
26799000,i5-12500,7,6.0,12.0,4.6,4.6,64,5,4.0,512,1,0.0,3,15.6,360,11,12.0,1980,1080
79499000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,2048,1,12.0,3,18.0,120,11,36.0,3840,2400
29799000,i7-13620H,7,10.0,16.0,4.9,4.9,32,5,4.0,512,1,8.0,3,15.6,144,11,24.0,1920,1080
124999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,2048,1,16.0,2,16.0,240,11,12.0,2560,1600
59999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,12.0,3,18.0,240,11,24.0,2560,1600
48999000,i7-13700,7,16.0,24.0,1.5,5.1,32,5,4.0,512,1,12.0,3,16.0,165,11,12.0,2560,1600
45999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,512,1,8.0,3,16.0,240,11,24.0,2560,1600
56799000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,12.0,3,16.0,240,11,12.0,2560,1600
35999000,i5-13500,7,14.0,20.0,1.8,4.8,32,5,4.0,512,1,8.0,3,16.0,165,11,12.0,1920,1200
23490000,i5-13500H,7,12.0,16.0,4.7,4.7,16,5,4.0,512,1,0.0,1,14.0,90,11,12.0,2880,1800
26990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,0.0,1,14.0,60,10,24.0,1920,1200
13990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,16.0,60,11,24.0,1920,1200
26990000,i7-1360P,7,12.0,16.0,5.0,5.0,16,5,4.0,512,1,4.0,1,14.0,60,11,24.0,1920,1080
21990000,i5-13500H,7,12.0,16.0,4.7,4.7,16,5,4.0,512,1,0.0,1,15.6,144,10,24.0,1920,1080
13890000,i5-1235U,7,10.0,12.0,4.4,4.4,8,4,4.0,512,1,0.0,3,14.0,60,11,36.0,1920,1080
13390000,i5-13420H,7,8.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,14.0,60,10,24.0,1920,1080
24590000,i7-1355U,7,10.0,12.0,5.0,5.0,32,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
23490000,i7-12650H,7,10.0,16.0,4.7,4.7,32,4,4.0,512,1,0.0,3,15.0,144,11,12.0,1920,1080
32990000,i5-13500HX,7,14.0,20.0,4.7,4.7,32,5,4.0,512,1,0.0,3,16.0,165,11,12.0,2560,1600
99999000,i9-14900,7,24.0,32.0,1.5,5.4,64,5,4.0,2048,1,16.0,3,16.0,240,11,24.0,2560,1600
21590000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,4.0,3,13.0,60,11,12.0,1920,1080
24490000,Ryzen 7 7735HS,6,8.0,16.0,3.2,4.75,32,5,5.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
18990000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,512,1,0.0,3,15.0,60,11,12.0,1920,1080
13590000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,256,1,0.0,0,14.0,60,11,12.0,1920,1080
12290000,Ryzen 7 5700U,7,8.0,16.0,1.8,4.3,16,4,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1200
9990000,i3-1220P,7,10.0,12.0,4.4,4.4,8,4,4.0,512,1,0.0,3,14.0,60,11,24.0,1920,1200
15990000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,0,15.6,120,11,12.0,1920,1080
36990000,i7-13700HX,7,16.0,24.0,5.0,5.0,32,5,4.0,512,1,0.0,3,16.0,165,11,12.0,2560,1600
17290000,i7-1355U,7,10.0,12.0,5.0,5.0,8,4,4.0,512,1,0.0,0,15.0,60,11,24.0,1920,1080
17990000,i5-12450H,7,8.0,12.0,4.4,4.4,32,4,4.0,512,1,0.0,3,15.0,144,11,12.0,1920,1080
53990000,i9-14900,7,24.0,32.0,1.5,5.4,64,5,4.0,1024,1,12.0,3,16.0,240,11,24.0,2560,1600
18990000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1200
8490000,i3-1115G4,10,2.0,4.0,1.7,4.1,8,4,4.0,512,1,0.0,3,14.0,60,11,24.0,1920,1080
27390000,i7-13700H,7,14.0,20.0,5.0,5.0,16,5,4.0,512,1,0.0,1,14.0,90,11,12.0,2880,1800
23590000,125H,7,14.0,18.0,0.7,4.5,16,5,4.0,512,1,0.0,3,14.0,120,11,12.0,2560,1440
38990000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,8.0,3,16.0,165,11,12.0,2560,1600
17990000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,0,15.6,120,11,12.0,1920,1080
15190000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,1,14.0,60,11,24.0,1920,1080
16990000,Ryzen 5 7535HS,6,6.0,12.0,3.3,4.55,16,5,5.0,512,1,4.0,3,15.6,144,11,24.0,1920,1080
18590000,i5-13500H,7,12.0,16.0,4.7,4.7,16,5,4.0,1024,1,0.0,1,14.0,60,11,36.0,1920,1200
41990000,i7-14650HX,7,16.0,24.0,1.6,5.2,32,5,4.0,1024,1,8.0,1,16.0,165,11,24.0,2560,1600
15990000,Ryzen 7 7730U,7,8.0,16.0,2.0,4.5,16,4,4.0,512,1,0.0,1,15.6,60,11,24.0,1920,1080
28990000,i7-13620H,7,10.0,16.0,4.9,4.9,32,5,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
35990000,i7-1260P,7,12.0,16.0,4.7,4.7,32,4,4.0,512,1,0.0,3,14.0,60,10,36.0,2240,1400
18490000,i5-1240P,7,12.0,16.0,4.4,4.4,16,4,4.0,512,1,0.0,3,14.0,60,11,12.0,2560,1440
31990000,i5-1340P,7,12.0,16.0,4.6,4.6,16,5,4.0,512,1,0.0,1,15.6,60,11,27.0,1920,1080
22790000,i7-1355U,7,10.0,12.0,5.0,5.0,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
14290000,i5-1235U,7,10.0,12.0,4.4,4.4,8,4,4.0,512,1,0.0,0,15.6,120,11,12.0,1920,1080
32990000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,0.0,3,16.0,165,11,12.0,2560,1600
29990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,0.0,1,14.0,60,11,24.0,1920,1200
22490000,i7-13700H,7,14.0,20.0,5.0,5.0,48,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
66990000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,512,1,8.0,1,16.0,240,11,24.0,2560,1600
17990000,Ryzen 5 7530U,7,6.0,12.0,2.0,4.5,16,4,4.0,1024,1,0.0,3,14.0,60,11,12.0,1920,1080
18990000,i5-13420H,7,8.0,12.0,4.6,4.6,32,5,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
59990000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,512,1,12.0,3,18.0,240,11,24.0,2560,1600
21990000,125H,7,14.0,18.0,0.7,4.5,16,5,4.0,512,1,0.0,3,14.0,55,11,12.0,2240,1400
22990000,i7-13700H,7,14.0,20.0,5.0,5.0,16,5,4.0,512,1,0.0,1,14.0,60,11,36.0,1920,1200
27490000,i7-1250U,7,10.0,12.0,4.7,4.7,16,4,4.0,512,1,0.0,1,13.3,60,11,12.0,2880,1800
23990000,Ryzen 5 7535HS,6,6.0,12.0,3.3,4.55,8,5,5.0,512,1,4.0,3,15.6,144,11,24.0,1920,1080
21490000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
10290000,i3-1215U,7,6.0,8.0,4.4,4.4,8,4,4.0,256,1,0.0,3,14.0,60,11,12.0,1920,1080
35990000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,512,1,0.0,3,14.0,60,11,36.0,2240,1400
18990000,i7-1255U,7,10.0,12.0,4.7,4.7,32,4,4.0,512,1,0.0,1,14.0,60,11,24.0,1920,1080
10390000,i3-1215U,7,6.0,8.0,4.4,4.4,8,4,4.0,256,1,0.0,1,15.6,60,11,12.0,1920,1080
32900000,i5-11500H,10,6.0,12.0,2.4,4.6,16,4,4.0,512,1,0.0,1,15.6,60,10,12.0,1920,1080
69990000,i9-13900H,7,14.0,20.0,5.4,5.4,64,5,4.0,2048,1,12.0,1,16.0,60,11,24.0,3840,2400
25990000,i7-1360P,7,12.0,16.0,5.0,5.0,64,4,4.0,512,1,0.0,3,14.0,60,10,24.0,1920,1080
8990000,i3-1215U,7,6.0,8.0,4.4,4.4,32,4,4.0,512,1,0.0,2,15.6,60,11,12.0,1920,1080
13990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,0,15.0,60,11,24.0,1920,1080
